session_id,start_timestamp,end_timestamp,length,sequence
08a47b6e-271a-42e7-9d33-35d2fba97176,1776058787390.0,1776059033842.0,94,HOME|START_SESSION|NONE HOME|TAB_OUT|NONE HOME|TAB_RETURN|GAP_MEDIUM HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|UNKNOWN_EVENT|scroll_stop HOME|UNKNOWN_EVENT|scroll_direction_change HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_HIGH HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_MID HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_LOW HOME|UNKNOWN_EVENT|scroll_speed HOME|SCROLL_HOME|SCROLL_UNKNOWN HOME|UNKNOWN_EVENT|scroll_speed HOME|UNKNOWN_EVENT|scroll_stop HOME|INACTIVE|GAP_SHORT HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|time_to_first_click HOME|HOVER_ELEMENT|HOVER_LONG HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_SHORT HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_LONG HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_SHORT HOME|START_INPUT|FOCUS HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|EDIT_INPUT|BLUR HOME|ABANDON_INPUT|EMPTY HOME|TAB_OUT|NONE HOME|START_SESSION|NONE HOME|TAB_OUT|NONE HOME|START_SESSION|NONE HOME|TAB_OUT|NONE HOME|INACTIVE|GAP_LONG HOME|TAB_RETURN|GAP_LONG HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|time_to_first_click HOME|HOVER_ELEMENT|HOVER_SHORT HOME|CLICK_ELEMENT|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|TAB_OUT|NONE HOME|TAB_RETURN|GAP_SHORT HOME|TAB_OUT|NONE
3bd4623a-e84f-4c4a-83a5-b6f0ede15258,1776656182239.0,1776667434847.0,148,HOME|START_SESSION|NONE HOME|ENTER_HOME|NONE HOME|TAB_OUT|NONE HOME|INACTIVE|GAP_LONG HOME|TAB_RETURN|GAP_LONG HOME|TAB_OUT|NONE HOME|UNKNOWN_EVENT|mouse_move HOME|TAB_RETURN|GAP_MEDIUM HOME|HOVER_ELEMENT|HOVER_SHORT PRODUCT|ENTER_PRODUCT|NONE PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|UNKNOWN_EVENT|time_to_first_click PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_OUT|NONE PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|INACTIVE|GAP_SHORT PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|UNKNOWN_EVENT|screen_resize PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|INACTIVE|GAP_MEDIUM PRODUCT|HOVER_ELEMENT|HOVER_LONG PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_OUT|NONE PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|TAB_OUT|NONE PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|TAB_OUT|NONE PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_OUT|NONE PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|ENTER_PRODUCT|NONE PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_OUT|NONE PRODUCT|TAB_RETURN|GAP_MEDIUM PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|INACTIVE|GAP_LONG PRODUCT|HOVER_ELEMENT|HOVER_LONG PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|ENTER_PRODUCT|NONE PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|VIEW_PRODUCT|CLICK PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|VIEW_REVIEW|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|SCROLL_PRODUCT|SCROLL_MID PRODUCT|SCROLL_PRODUCT|SCROLL_LOW PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_HIGH PRODUCT|SCROLL_PRODUCT|SCROLL_MID PRODUCT|SCROLL_PRODUCT|SCROLL_HIGH PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|scroll_stop PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|ENTER_PRODUCT|NONE PRODUCT|SCROLL_PRODUCT|SCROLL_UNKNOWN PRODUCT|UNKNOWN_EVENT|scroll_direction_change PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|UNKNOWN_EVENT|scroll_stop PRODUCT|CHECK_PRICE|HOVER_SHORT PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_OUT|NONE PRODUCT|INACTIVE|GAP_LONG PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|CHECK_PRICE|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_OUT|NONE PRODUCT|START_SESSION|NONE PRODUCT|ENTER_PRODUCT|NONE PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|ENTER_PRODUCT|NONE PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|UNKNOWN_EVENT|time_to_first_click PRODUCT|VIEW_PRODUCT|CLICK PRODUCT|TAB_OUT|NONE PRODUCT|TAB_RETURN|GAP_SHORT PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|ADD_CART|HOVER_SHORT PRODUCT|TAB_OUT|NONE PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|INACTIVE|GAP_MEDIUM PRODUCT|TAB_RETURN|GAP_LONG PRODUCT|ENTER_PRODUCT|NONE PRODUCT|CLICK_ELEMENT|CLICK PRODUCT|UNKNOWN_EVENT|time_to_first_click PRODUCT|VIEW_PRODUCT|CLICK PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|TAB_OUT|NONE PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|TAB_RETURN|GAP_MEDIUM PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|UNKNOWN_EVENT|mouse_move PRODUCT|ZOOM_IMAGE|ZOOM PRODUCT|SCROLL_PRODUCT|SCROLL_LOW PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_LOW PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_MID PRODUCT|SCROLL_PRODUCT|SCROLL_LOW PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_HIGH PRODUCT|SCROLL_PRODUCT|SCROLL_MID PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|ZOOM_IMAGE|ZOOM PRODUCT|UNKNOWN_EVENT|scroll_stop PRODUCT|UNKNOWN_EVENT|scroll_direction_change PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_MID PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|SCROLL_PRODUCT|SCROLL_LOW PRODUCT|UNKNOWN_EVENT|scroll_speed PRODUCT|HOVER_ELEMENT|HOVER_SHORT PRODUCT|ZOOM_IMAGE|ZOOM PRODUCT|UNKNOWN_EVENT|scroll_stop PRODUCT|UNKNOWN_EVENT|scroll_speed
374c257f-53c6-4044-8614-a055ed616c00,1777182549478.0,1777188074205.0,20,HOME|START_SESSION|NONE HOME|UNKNOWN_EVENT|section_enter HOME|ADD_CART|HOVER_SHORT HOME|ADD_CART|CLICK HOME|UNKNOWN_EVENT|time_to_first_click HOME|ADD_CART|HOVER_SHORT HOME|UNKNOWN_EVENT|mouse_move HOME|ADD_CART|HOVER_SHORT HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_SHORT HOME|ADD_CART|CLICK HOME|UNKNOWN_EVENT|mouse_move HOME|ADD_CART|HOVER_SHORT HOME|UNKNOWN_EVENT|mouse_move HOME|INACTIVE|GAP_MEDIUM HOME|ADD_CART|HOVER_LONG HOME|UNKNOWN_EVENT|mouse_move HOME|INACTIVE|GAP_LONG HOME|TAB_OUT|NONE HOME|UNKNOWN_EVENT|mouse_move
0b19519f-bb1a-4c59-91cb-2394cf0551e3,1777182638275.0,1777182651632.0,7,HOME|START_SESSION|NONE HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_SHORT HOME|UNKNOWN_EVENT|mouse_move HOME|HOVER_ELEMENT|HOVER_LONG HOME|TAB_OUT|NONE HOME|UNKNOWN_EVENT|mouse_move
3a0e5f88-8e9b-4f9f-9a8e-1a6d4ccc4db9,1777300555736.0,1777300555736.0,1,PRODUCT|TAB_OUT|NONE
